folder,name,relationship_col,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,exact_match_rate,mean_psi,target_rate_drift,auc_retention_ratio,real_auc,synthetic_auc,mean_iv_retention,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
009_k3_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,weighted_mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,66.959,8.05,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6843,1
008_k3_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,67.381,7.85,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6842,2
003_k3_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,weighted_mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,67.863,8.05,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6841,3
006_k3_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,probability,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,67.999,7.93,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6841,4
005_k3_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,probability,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,68.162,7.98,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.684,5
010_k3_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,weighted_mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,68.365,8.08,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.684,6
004_k3_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,weighted_mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,69.875,8.03,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6835,7
007_k3_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.261,7.86,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6834,8
002_k3_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.584,8.1,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6833,9
001_k3_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,3,mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,72.557,3161.63,6414,0.6667,1.0,0.0769,0.0147,0.04166,0.0,0.0094,0.0809,0.9325,0.7686,0.7167,13.8057,False,0.1668,0.853,0.7028,0.6828,10
